,parusedesc,parusedsc2,geometry,type,properties,com,res,ind,mfh,caf,gro,bg,STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,GEOID,GEOIDFQ,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,Shape__Are,Shape__Len
0,RESIDENTIAL,"['RANCH', 'STORAGE', 'UNFINISHED CARPORT', 'FINISHED CARPORT']","POLYGON ((-78.32188886775785 35.00619457133732, -78.32174007167795 35.00581453710636, -78.3215441871623 35.00587697868605, -78.32130226912631 35.00595298656394, -78.32145032595614 35.00632142465998, -78.32188886775785 35.00619457133732))",res,{'wasyname': 'City of Clinton'},False,True,False,False,False,False,9707012,37,163,970701,2,371639707012,1500000US371639707012,Block Group 2,G5030,S,947943.0,0.0,+35.0080047,-078.3203100,1416245.70312,5864.25315852
1,RESIDENTIAL,"['CONVENTIONAL', 'UNFINISHED FRAME GARAGE', 'STORAGE']","POLYGON ((-78.31888277367398 35.00614792779902, -78.3191455134159 35.00607822482242, -78.31911936335777 35.00601024037842, -78.31908257706499 35.0059161783036, -78.3183077468354 35.00612149508134, -78.31834701111599 35.0062186626755, -78.31835845481926 35.00624800929724, -78.31837235296149 35.00628338015588, -78.31888277367398 35.00614792779902))",res,{'wasyname': 'City of Clinton'},False,True,False,False,False,False,9707012,37,163,970701,2,371639707012,1500000US371639707012,Block Group 2,G5030,S,947943.0,0.0,+35.0080047,-078.3203100,1416245.70312,5864.25315852
2,RESIDENTIAL,['RANCH'],"POLYGON ((-78.32192162176629 35.00627203740721, -78.32223802487431 35.00617437957094, -78.32215781177916 35.00598072353731, -78.32204729518129 35.00571631250462, -78.32174007167795 35.00581453710636, -78.32188886775785 35.00619457133732, -78.32192162176629 35.00627203740721))",res,{'wasyname': 'City of Clinton'},False,True,False,False,False,False,9707012,37,163,970701,2,371639707012,1500000US371639707012,Block Group 2,G5030,S,947943.0,0.0,+35.0080047,-078.3203100,1416245.70312,5864.25315852
3,RESIDENTIAL,"['CONVENTIONAL', 'STORAGE']","POLYGON ((-78.32011238389607 35.00577077019101, -78.32026848384633 35.00617514874123, -78.32041999850193 35.00612748658809, -78.32051040421484 35.00609905729827, -78.32035344191426 35.00569785203097, -78.32031577619533 35.00570931800986, -78.32030591750839 35.00571233481728, -78.32027141265372 35.00572289273843, -78.32025956294402 35.00572645996568, -78.32011238389607 35.00577077019101))",res,{'wasyname': 'City of Clinton'},False,True,False,False,False,False,9707012,37,163,970701,2,371639707012,1500000US371639707012,Block Group 2,G5030,S,947943.0,0.0,+35.0080047,-078.3203100,1416245.70312,5864.25315852
4,RESIDENTIAL,['CONVENTIONAL'],"POLYGON ((-78.31745500387254 35.00615832005407, -78.31808089762413 35.00599218237641, -78.31802823147343 35.00585697181511, -78.31740633028809 35.00602637273614, -78.31741952513426 35.00606613279034, -78.31745500387254 35.00615832005407))",res,{'wasyname': 'City of Clinton'},False,True,False,False,False,False,9707012,37,163,970701,2,371639707012,1500000US371639707012,Block Group 2,G5030,S,947943.0,0.0,+35.0080047,-078.3203100,1416245.70312,5864.25315852
5,RESIDENTIAL,"['CONVENTIONAL', 'STORAGE']","POLYGON ((-78.32284739192956 35.00598639887983, -78.3227737553437 35.00580497309873, -78.32238962635799 35.00591470363517, -78.32215781177916 35.00598072353731, -78.32223802487431 35.00617437957094, -78.32284739192956 35.00598639887983))",res,{'wasyname': 'City of Clinton'},False,True,False,False,False,False,9707012,37,163,970701,2,371639707012,1500000US371639707012,Block Group 2,G5030,S,947943.0,0.0,+35.0080047,-078.3203100,1416245.70312,5864.25315852
6,RESIDENTIAL,"['CONVENTIONAL', 'STORAGE']","POLYGON ((-78.31824314956586 35.00595857959178, -78.31829548263316 35.00609042734197, -78.3183077468354 35.00612149508134, -78.31908257706499 35.0059161783036, -78.31907195869499 35.00588795338064, -78.31902127989291 35.00575783358771, -78.31824314956586 35.00595857959178))",res,{'wasyname': 'City of Clinton'},False,True,False,False,False,False,9707012,37,163,970701,2,371639707012,1500000US371639707012,Block Group 2,G5030,S,947943.0,0.0,+35.0080047,-078.3203100,1416245.70312,5864.25315852
7,RESIDENTIAL,"['CONVENTIONAL', 'STORAGE', 'PATIO']","POLYGON ((-78.3207464633044 35.00602482193921, -78.32058528928002 35.00562797280235, -78.32043379317614 35.0056736600544, -78.32035344191426 35.00569785203097, -78.32051040421484 35.00609905729827, -78.32058155735561 35.00607661734073, -78.3207464633044 35.00602482193921))",res,{'wasyname': 'City of Clinton'},False,True,False,False,False,False,9707012,37,163,970701,2,371639707012,1500000US371639707012,Block Group 2,G5030,S,947943.0,0.0,+35.0080047,-078.3203100,1416245.70312,5864.25315852
8,RESIDENTIAL,"['CONVENTIONAL', 'UNFINISHED FRAME GARAGE']","POLYGON ((-78.31994822267602 35.00593368370533, -78.31989508935449 35.0057973678933, -78.31943567975466 35.00592340841494, -78.31948636003312 35.00605344239235, -78.31994822267602 35.00593368370533))",res,{'wasyname': 'City of Clinton'},False,True,False,False,False,False,9707012,37,163,970701,2,371639707012,1500000US371639707012,Block Group 2,G5030,S,947943.0,0.0,+35.0080047,-078.3203100,1416245.70312,5864.25315852
9,RESIDENTIAL,"['CONVENTIONAL', 'UNFINISHED FRAME GARAGE']","POLYGON ((-78.31802823147343 35.00585697181511, -78.31792514956896 35.00559567761138, -78.31741744357782 35.00573269998409, -78.31728041466162 35.00577014870005, -78.31738538004389 35.00603200674353, -78.31740637104006 35.00602647844346, -78.31802823147343 35.00585697181511))",res,{'wasyname': 'City of Clinton'},False,True,False,False,False,False,9707012,37,163,970701,2,371639707012,1500000US371639707012,Block Group 2,G5030,S,947943.0,0.0,+35.0080047,-078.3203100,1416245.70312,5864.25315852
